what is price of product ,price_products
tell me the price of product,price_products
show me price of product,price_products
tell cost of product,price_products
tell worth of product,price_products
count number of products,count_products
count products,count_products
number of product,count_products
how many product,count_products
number of count,count_products
list the products,show_products
show the products,show_products
give products,show_products
all products,show_products
what products you have,show_products
